ID,NAtoms,Ne,Homo-4,Homo-3,Homo-2,Homo-1,Homo,Lumo,Lumo+1,Lumo+2,Lumo+3,Lumo+4,CIe,HF,ET,EV,EJ,EK,ENuc,Dipole,Factor
AC18826,13,64,-0.5459,-0.4736,-0.41665,-0.37898,-0.34349,0.0316,0.04263,0.05836,0.06889,0.07305,-1.7138566,-743.4434428624,11.606466453125,-39.266317765625,11.2433318125,-1.057296046875,5.857511765625,4.4589,2
AC18830,11,56,-0.54767,-0.52987,-0.47323,-0.41438,-0.32614,0.03001,0.04858,0.05965,0.07463,0.08352,-1.4726066,-688.4267749007,12.284457642857143,-39.51719875,10.855294464285716,-1.0838224107142858,5.167933785714285,3.6915,2
AC18832,14,64,-0.52831,-0.51718,-0.4513,-0.37338,-0.28674,0.02463,0.04716,0.05124,0.06568,0.07505,-1.6886274,-727.3567581995,11.354752671875,-38.544648421875,11.057500078125,-1.039947390625,5.807393703125,5.1216,2
AC18833,12,62,-0.53861,-0.4683,-0.45933,-0.36423,-0.35539,0.02451,0.04836,0.05577,0.06533,0.07286,-1.6410473,-726.2044267475,11.70409193548387,-39.07817720967742,11.06575406451613,-1.0616307741935482,5.656987338709677,5.3813,2
AC18834,12,64,-0.55089,-0.5348,-0.4445,-0.37777,-0.35239,0.02603,0.0459,0.06046,0.06929,0.08115,-1.7317786,-763.2888599813,11.915999609375,-40.157213359375,11.468510703125,-1.0770276875,5.9233423125,4.9843,2
AC18835,12,64,-0.53373,-0.52948,-0.43617,-0.40466,-0.37737,0.02293,0.04132,0.0521,0.07126,0.07425,-1.7349868,-763.258362381,11.914361484375,-40.142955296875,11.454818265625,-1.07730109375,5.92516471875,6.7313,2
AC18836,13,64,-0.52674,-0.50934,-0.39273,-0.37794,-0.3364,0.03103,0.04842,0.05396,0.06818,0.08143,-1.7103829,-743.4585965004,11.606942546875,-39.3411556875,11.284097,-1.0573879375,5.8909635,3.3261,2
AC18837,11,64,-0.56141,-0.53615,-0.48263,-0.39092,-0.37129,0.02172,0.04387,0.05776,0.06181,0.08281,-1.737956,-787.2821105513,12.2911135,-40.981806796875,11.61581896875,-1.10013753125,5.873728890625,6.2146,2
AC18841,13,64,-0.49216,-0.46708,-0.39315,-0.36351,-0.327,0.03333,0.05025,0.05771,0.0638,0.07766,-1.5411801,-930.8644604064,14.53767978125,-45.34690415625,12.0133330625,-1.15573475,5.406868875,2.6087,2
AC18844,14,70,-0.46745,-0.44206,-0.37444,-0.36605,-0.3384,0.02906,0.04517,0.0545,0.05513,0.0638,-1.7100066,-968.6402982168,13.83066137142857,-44.60034384285714,12.171455557142858,-1.1298709571428571,5.890379342857143,3.657,2
